frame_id,filename,ts_iso,ts,width,height,leaf_coverage_pct,exg_mean,vari_mean,cive_mean,sharpness_laplacian,fruit_count,ripe,unripe,stains_area_pct,stains_method,malformed,frame_idx,ripe_pct
Mision_Prueba__photo_60_2025-11-11_22-53-05,photo_60_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,22.409505208333332,0.11101081967353821,26.07293701171875,18.750957489013672,18508.739831335133,243,0,243,0.9000651041666666,lab_threshold_v0.1,227,59,0.0
Mision_Prueba__photo_61_2025-11-11_22-53-05,photo_61_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,41.75008138020833,0.10085708647966385,14.916584968566895,18.754751205444336,13329.064427801657,53,0,53,2.93896484375,lab_threshold_v0.1,188,60,0.0
Mision_Prueba__photo_62_2025-11-11_22-53-05,photo_62_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,37.67293294270833,0.10419291257858276,16.878934860229492,18.753435134887695,14353.76826433935,37,0,37,2.3213704427083335,lab_threshold_v0.1,215,61,0.0
Mision_Prueba__photo_63_2025-11-11_22-53-05,photo_63_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,960,1280,23.311930338541668,0.09430678188800812,13.052189826965332,18.758224487304688,2125.533366096798,86,0,86,1.8705240885416667,lab_threshold_v0.1,150,62,0.0
Mision_Prueba__photo_64_2025-11-11_22-53-05,photo_64_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,960,1280,41.619059244791664,0.14298169314861298,3.089237689971924,18.73906707763672,17243.0886233965,218,0,218,3.0818684895833335,lab_threshold_v0.1,254,63,0.0
Mision_Prueba__photo_65_2025-11-11_22-53-05,photo_65_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,960,1280,43.46240234375,0.09813959896564484,20.163650512695312,18.758026123046875,13541.034798168343,128,0,128,4.455240885416667,lab_threshold_v0.1,187,64,0.0
Mision_Prueba__photo_66_2025-11-11_22-53-05,photo_66_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,960,1280,39.581705729166664,0.13688252866268158,3.820417881011963,18.74188232421875,6002.213813488033,192,0,192,2.8717447916666665,lab_threshold_v0.1,223,65,0.0
Mision_Prueba__photo_67_2025-11-11_22-53-05,photo_67_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,960,1280,62.219156901041664,0.12855879962444305,12.58004379272461,18.744714736938477,10854.759452806971,89,1,88,6.030436197916667,lab_threshold_v0.1,270,66,1.1235955056179776
Mision_Prueba__photo_68_2025-11-11_22-53-05,photo_68_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,960,1280,32.127685546875,0.056123293936252594,4.718956470489502,18.774559020996094,10829.748480591354,122,0,122,3.0479329427083335,lab_threshold_v0.1,111,67,0.0
Mision_Prueba__photo_69_2025-11-11_22-53-05,photo_69_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,960,1280,43.177164713541664,0.0846695601940155,16.626192092895508,18.76288604736328,11397.457544165432,92,0,92,4.178955078125,lab_threshold_v0.1,168,68,0.0
Mision_Prueba__photo_6_2025-11-11_22-53-05,photo_6_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,66.286376953125,0.16799437999725342,1.897868275642395,18.728731155395508,2699.8763220920137,125,0,125,6.643391927083333,lab_threshold_v0.1,187,69,0.0
Mision_Prueba__photo_70_2025-11-11_22-53-05,photo_70_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,52.502278645833336,0.10185904055833817,0.38845095038414,18.755931854248047,14081.294571688166,117,0,117,3.5391438802083335,lab_threshold_v0.1,123,70,0.0
Mision_Prueba__photo_71_2025-11-11_22-53-05,photo_71_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,44.217529296875,0.08441081643104553,15.81359577178955,18.76218032836914,19105.68052739239,144,0,144,3.8697102864583335,lab_threshold_v0.1,95,71,0.0
Mision_Prueba__photo_72_2025-11-11_22-53-05,photo_72_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,14.082031249999998,0.07644819468259811,2.1534583568573,18.764995574951172,8482.990549311156,99,0,99,0.9261067708333334,lab_threshold_v0.1,95,72,0.0
